,actor_name,actor_facebook_likes,actor_oscar_nom
0,Christoph Waltz,11000.0,2
1,Kevin Spacey,18000.0,2
2,Will Smith,10000.0,2
3,Naomi Watts,6000.0,2
4,Robert Downey Jr.,21000.0,2
5,Scarlett Johansson,19000.0,2
6,Gary Oldman,10000.0,2
7,Nicolas Cage,12000.0,2
8,Jeremy Renner,10000.0,2
9,Michael Fassbender,13000.0,2
10,Heath Ledger,13000.0,2
11,Djimon Hounsou,3000.0,2
12,Anne Hathaway,11000.0,2
13,Roy Scheider,813.0,2
14,Sylvester Stallone,13000.0,2
15,Colin Firth,14000.0,2
16,Clint Eastwood,16000.0,2
17,Ryan Gosling,33000.0,2
18,Tom Wilkinson,1000.0,2
19,Julie Walters,838.0,2
20,Eddie Redmayne,13000.0,2
21,Gena Rowlands,545.0,2
22,Emily Watson,876.0,2
23,Isabelle Adjani,572.0,2
24,Mary McDonnell,933.0,2
25,Sally Hawkins,594.0,2
26,Bruce Dern,844.0,2
27,Samantha Morton,631.0,2
28,Talia Shire,452.0,2
29,Jill Clayburgh,433.0,2
30,Madeline Kahn,1000.0,2
31,Miranda Richardson,530.0,2
32,Liza Minnelli,740.0,2
33,Gloria Grahame,232.0,2
34,Ann-Margret,931.0,2
35,Dyan Cannon,267.0,2
36,Patricia Neal,617.0,2
37,Jessica Tandy,509.0,2
38,Burgess Meredith,1000.0,2
39,Karl Malden,416.0,2
40,Liv Ullmann,440.0,2
41,Jack Warden,359.0,2
42,Shirley Knight,285.0,2
43,Jacki Weaver,401.0,2
44,Brenda Blethyn,286.0,2
45,Judy Davis,223.0,2
46,Leslie Caron,399.0,2
47,John Gielgud,249.0,2
48,Richard Farnsworth,262.0,2
49,Ralph Richardson,115.0,2
50,Rex Harrison,272.0,2
51,Casey Affleck,0.0,2
52,Paul Scofield,94.0,2
53,Jessica Chastain,0.0,2
54,Jean Simmons,422.0,2
55,Helen Hayes,164.0,2
56,Peter Finch,139.0,2
57,Lynn Redgrave,258.0,2
58,Basil Rathbone,659.0,2
59,Walter Pidgeon,176.0,2
60,Eddie Albert,196.0,2
61,Lee J. Cobb,259.0,2
62,Janet McTeer,277.0,2
63,Cecil Kellaway,40.0,2
64,Melinda Dillon,252.0,2
65,James Whitmore,288.0,2
66,Estelle Parsons,224.0,2
67,Elsa Lanchester,266.0,2
68,Thomas Mitchell,248.0,2
69,Sal Mineo,450.0,2
70,John Garfield,167.0,2
71,Victor McLaglen,89.0,2
72,Barry Fitzgerald,137.0,2
73,Gale Sondergaard,51.0,2
74,Hugh Griffith,69.0,2
75,Arthur O'Connell,75.0,2
